lambda,lasso_accuracy,ridge_accuracy,standard_accuracy
0.000000000000000000e+00,5.238733905579399108e-01,5.289699570815450391e-01,5.289699570815450391e-01
4.040404040404040747e-02,5.155579399141630992e-01,5.265557939914162766e-01,5.289699570815450391e-01
8.080808080808081495e-02,4.648605150214591974e-01,5.268240343347638799e-01,5.289699570815450391e-01
1.212121212121212155e-01,4.450107296137338908e-01,5.284334763948498326e-01,5.289699570815450391e-01
1.616161616161616299e-01,4.450107296137338908e-01,5.278969957081545150e-01,5.289699570815450391e-01
2.020202020202020443e-01,4.450107296137338908e-01,5.273605150214593085e-01,5.289699570815450391e-01
2.424242424242424310e-01,4.450107296137338908e-01,5.278969957081545150e-01,5.289699570815450391e-01
2.828282828282828731e-01,4.450107296137338908e-01,5.289699570815450391e-01,5.289699570815450391e-01
3.232323232323232598e-01,4.450107296137338908e-01,5.287017167381975469e-01,5.289699570815450391e-01
3.636363636363636465e-01,4.450107296137338908e-01,5.295064377682403567e-01,5.289699570815450391e-01
4.040404040404040886e-01,4.450107296137338908e-01,5.289699570815450391e-01,5.289699570815450391e-01
4.444444444444444753e-01,4.450107296137338908e-01,5.284334763948497216e-01,5.289699570815450391e-01
4.848484848484848619e-01,4.450107296137338908e-01,5.252145922746781492e-01,5.289699570815450391e-01
5.252525252525253041e-01,4.450107296137338908e-01,5.254828326180258635e-01,5.289699570815450391e-01
5.656565656565657463e-01,4.450107296137338908e-01,5.252145922746780382e-01,5.289699570815450391e-01
6.060606060606060774e-01,4.450107296137338908e-01,5.265557939914162766e-01,5.289699570815450391e-01
6.464646464646465196e-01,4.450107296137338908e-01,5.244098712446352284e-01,5.289699570815450391e-01
6.868686868686869618e-01,4.450107296137338908e-01,5.244098712446352284e-01,5.289699570815450391e-01
7.272727272727272929e-01,4.450107296137338908e-01,5.244098712446352284e-01,5.289699570815450391e-01
7.676767676767677351e-01,4.450107296137338908e-01,5.244098712446352284e-01,5.289699570815450391e-01
8.080808080808081773e-01,4.450107296137338908e-01,5.228004291845493867e-01,5.289699570815450391e-01
8.484848484848485084e-01,4.450107296137338908e-01,5.230686695278969900e-01,5.289699570815450391e-01
8.888888888888889506e-01,4.450107296137338908e-01,5.217274678111587516e-01,5.289699570815450391e-01
9.292929292929293927e-01,4.450107296137338908e-01,5.217274678111587516e-01,5.289699570815450391e-01
9.696969696969697239e-01,4.450107296137338908e-01,5.228004291845493867e-01,5.289699570815450391e-01
1.010101010101010166e+00,4.450107296137338908e-01,5.230686695278969900e-01,5.289699570815450391e-01
1.050505050505050608e+00,4.450107296137338908e-01,5.222639484978540692e-01,5.289699570815450391e-01
1.090909090909091050e+00,4.450107296137338908e-01,5.225321888412017834e-01,5.289699570815450391e-01
1.131313131313131493e+00,4.450107296137338908e-01,5.219957081545063549e-01,5.289699570815450391e-01
1.171717171717171713e+00,4.450107296137338908e-01,5.217274678111587516e-01,5.289699570815450391e-01
1.212121212121212155e+00,4.450107296137338908e-01,5.217274678111587516e-01,5.289699570815450391e-01
1.252525252525252597e+00,4.450107296137338908e-01,5.214592274678111483e-01,5.289699570815450391e-01
1.292929292929293039e+00,4.450107296137338908e-01,5.206545064377682275e-01,5.289699570815450391e-01
1.333333333333333481e+00,4.450107296137338908e-01,5.206545064377683385e-01,5.289699570815450391e-01
1.373737373737373924e+00,4.450107296137338908e-01,5.193133047210299891e-01,5.289699570815450391e-01
1.414141414141414366e+00,4.450107296137338908e-01,5.182403433476394650e-01,5.289699570815450391e-01
1.454545454545454586e+00,4.450107296137338908e-01,5.187768240343347825e-01,5.289699570815450391e-01
1.494949494949495028e+00,4.450107296137338908e-01,5.182403433476394650e-01,5.289699570815450391e-01
1.535353535353535470e+00,4.450107296137338908e-01,5.182403433476394650e-01,5.289699570815450391e-01
1.575757575757575912e+00,4.450107296137338908e-01,5.185085836909871793e-01,5.289699570815450391e-01
1.616161616161616355e+00,4.450107296137338908e-01,5.171673819742488298e-01,5.289699570815450391e-01
1.656565656565656797e+00,4.450107296137338908e-01,5.166309012875536233e-01,5.289699570815450391e-01
1.696969696969697017e+00,4.450107296137338908e-01,5.163626609442060200e-01,5.289699570815450391e-01
1.737373737373737459e+00,4.450107296137338908e-01,5.160944206008584167e-01,5.289699570815450391e-01
1.777777777777777901e+00,4.450107296137338908e-01,5.150214592274677816e-01,5.289699570815450391e-01
1.818181818181818343e+00,4.450107296137338908e-01,5.139484978540772575e-01,5.289699570815450391e-01
1.858585858585858785e+00,4.450107296137338908e-01,5.134120171673819399e-01,5.289699570815450391e-01
1.898989898989899228e+00,4.450107296137338908e-01,5.126072961373391301e-01,5.289699570815450391e-01
1.939393939393939448e+00,4.450107296137338908e-01,5.131437768240343367e-01,5.289699570815450391e-01
1.979797979797979890e+00,4.450107296137338908e-01,5.131437768240343367e-01,5.289699570815450391e-01
2.020202020202020332e+00,4.450107296137338908e-01,5.120708154506437015e-01,5.289699570815450391e-01
2.060606060606060996e+00,4.450107296137338908e-01,5.115343347639484950e-01,5.289699570815450391e-01
2.101010101010101216e+00,4.450107296137338908e-01,5.118025751072960983e-01,5.289699570815450391e-01
2.141414141414141437e+00,4.450107296137338908e-01,5.120708154506438126e-01,5.289699570815450391e-01
2.181818181818182101e+00,4.450107296137338908e-01,5.123390557939914158e-01,5.289699570815450391e-01
2.222222222222222321e+00,4.450107296137338908e-01,5.109978540772532885e-01,5.289699570815450391e-01
2.262626262626262985e+00,4.450107296137338908e-01,5.107296137339054631e-01,5.289699570815450391e-01
2.303030303030303205e+00,4.450107296137338908e-01,5.109978540772532885e-01,5.289699570815450391e-01
2.343434343434343425e+00,4.450107296137338908e-01,5.101931330472102566e-01,5.289699570815450391e-01
2.383838383838384090e+00,4.450107296137338908e-01,5.112660944206008917e-01,5.289699570815450391e-01
2.424242424242424310e+00,4.450107296137338908e-01,5.118025751072960983e-01,5.289699570815450391e-01
2.464646464646464974e+00,4.450107296137338908e-01,5.112660944206008917e-01,5.289699570815450391e-01
2.505050505050505194e+00,4.450107296137338908e-01,5.104613733905579709e-01,5.289699570815450391e-01
2.545454545454545858e+00,4.450107296137338908e-01,5.104613733905578599e-01,5.289699570815450391e-01
2.585858585858586078e+00,4.450107296137338908e-01,5.104613733905579709e-01,5.289699570815450391e-01
2.626262626262626299e+00,4.450107296137338908e-01,5.093884120171674468e-01,5.289699570815450391e-01
2.666666666666666963e+00,4.450107296137338908e-01,5.088519313304720182e-01,5.289699570815450391e-01
2.707070707070707183e+00,4.450107296137338908e-01,5.077789699570814941e-01,5.289699570815450391e-01
2.747474747474747847e+00,4.450107296137338908e-01,5.075107296137338908e-01,5.289699570815450391e-01
2.787878787878788067e+00,4.450107296137338908e-01,5.080472103004292084e-01,5.289699570815450391e-01
2.828282828282828731e+00,4.450107296137338908e-01,5.075107296137338908e-01,5.289699570815450391e-01
2.868686868686868952e+00,4.450107296137338908e-01,5.061695278969956524e-01,5.289699570815450391e-01
2.909090909090909172e+00,4.450107296137338908e-01,5.053648068669528426e-01,5.289699570815450391e-01
2.949494949494949836e+00,4.450107296137338908e-01,5.048283261802575250e-01,5.289699570815450391e-01
2.989898989898990056e+00,4.450107296137338908e-01,5.037553648068668899e-01,5.289699570815450391e-01
3.030303030303030720e+00,4.450107296137338908e-01,5.042918454935622075e-01,5.289699570815450391e-01
3.070707070707070940e+00,4.450107296137338908e-01,5.042918454935622075e-01,5.289699570815450391e-01
3.111111111111111160e+00,4.450107296137338908e-01,5.034871244635192866e-01,5.289699570815450391e-01
3.151515151515151825e+00,4.450107296137338908e-01,5.029506437768240801e-01,5.289699570815450391e-01
3.191919191919192045e+00,4.450107296137338908e-01,5.018776824034334449e-01,5.289699570815450391e-01
3.232323232323232709e+00,4.450107296137338908e-01,5.008047210300429208e-01,5.289699570815450391e-01
3.272727272727272929e+00,4.450107296137338908e-01,5.010729613733905241e-01,5.289699570815450391e-01
3.313131313131313593e+00,4.450107296137338908e-01,5.008047210300429208e-01,5.289699570815450391e-01
3.353535353535353813e+00,4.450107296137338908e-01,4.997317596566523967e-01,5.289699570815450391e-01
3.393939393939394034e+00,4.450107296137338908e-01,5.000000000000000000e-01,5.289699570815450391e-01
3.434343434343434698e+00,4.450107296137338908e-01,5.002682403433476033e-01,5.289699570815450391e-01
3.474747474747474918e+00,4.450107296137338908e-01,4.991952789699570792e-01,5.289699570815450391e-01
3.515151515151515582e+00,4.450107296137338908e-01,4.986587982832617616e-01,5.289699570815450391e-01
3.555555555555555802e+00,4.450107296137338908e-01,4.983905579399142138e-01,5.289699570815450391e-01
3.595959595959596466e+00,4.450107296137338908e-01,4.981223175965665551e-01,5.289699570815450391e-01
3.636363636363636687e+00,4.450107296137338908e-01,4.981223175965665551e-01,5.289699570815450391e-01
3.676767676767676907e+00,4.450107296137338908e-01,4.967811158798283167e-01,5.289699570815450391e-01
3.717171717171717571e+00,4.450107296137338908e-01,4.959763948497853958e-01,5.289699570815450391e-01
3.757575757575757791e+00,4.450107296137338908e-01,4.957081545064377925e-01,5.289699570815450391e-01
3.797979797979798455e+00,4.450107296137338908e-01,4.940987124463519509e-01,5.289699570815450391e-01
3.838383838383838675e+00,4.450107296137338908e-01,4.935622317596566888e-01,5.289699570815450391e-01
3.878787878787878896e+00,4.450107296137338908e-01,4.938304721030043476e-01,5.289699570815450391e-01
3.919191919191919560e+00,4.450107296137338908e-01,4.935622317596567443e-01,5.289699570815450391e-01
3.959595959595959780e+00,4.450107296137338908e-01,4.922210300429184504e-01,5.289699570815450391e-01
4.000000000000000000e+00,4.450107296137338908e-01,4.919527896995708471e-01,5.289699570815450391e-01
